common_name,winter_verified,winter_unverified,breeding_verified,breeding_indirect,transient,slug,aab_url,elcode,field_guide_url,order_desc,order,family_desc,family,genus,species,similar_species,num_observations,accidental,major_group
Wood Duck,X,"",X,"","",wood_duck,http://www.allaboutbirds.org/guide/wood_duck/id,ABNJB09010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB09010,,Anseriformes,Swans / Geese / Ducks,Anatidae,Aix,Sponsa,"Hooded Merganser, Green-winged Teal, Mallard",1120,"",Water birds
Northern Pintail,X,"",X,"","",northern_pintail,http://www.allaboutbirds.org/guide/northern_pintail/id,ABNJB10110,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB10110,,Anseriformes,Swans / Geese / Ducks,Anatidae,Anas,Acuta,"",2439,"",Water birds
American Wigeon,X,"",X,"","",american_wigeon,http://www.allaboutbirds.org/guide/american_wigeon/id,ABNJB10180,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB10180,,Anseriformes,Swans / Geese / Ducks,Anatidae,Anas,Americana,Eurasian Wigeon,3359,"",Water birds
Northern Shoveler,X,"",X,"","",northern_shoveler,http://www.allaboutbirds.org/guide/northern_shoveler/id,ABNJB10150,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB10150,,Anseriformes,Swans / Geese / Ducks,Anatidae,Anas,Clypeata,"",2928,"",Water birds
Green-winged Teal,X,"",X,"","",green-winged_teal,http://www.allaboutbirds.org/guide/green-winged_teal/id,ABNJB10010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB10010,,Anseriformes,Swans / Geese / Ducks,Anatidae,Anas,Crecca,Blue-winged Teal,2172,"",Water birds
Cinnamon Teal,X,"",X,"","",cinnamon_teal,http://www.allaboutbirds.org/guide/cinnamon_teal/id,ABNJB10140,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB10140,,Anseriformes,Swans / Geese / Ducks,Anatidae,Anas,Cyanoptera,"Ruddy Duck, Blue-winged Teal, Green-winged Teal",1518,"",Water birds
Blue-winged Teal,"",X,X,"","",blue-winged_teal,http://www.allaboutbirds.org/guide/blue-winged_teal/id,ABNJB10130,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB10130,,Anseriformes,Swans / Geese / Ducks,Anatidae,Anas,Discors,"Green-winged Teal, Cinnamon Teal",2305,"",Water birds
Eurasian Wigeon,"",X,"","",X,eurasian_wigeon,http://www.allaboutbirds.org/guide/eurasian_wigeon/id,ABNJB10170,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB10170,,Anseriformes,Swans / Geese / Ducks,Anatidae,Anas,Penelope,American Wigeon,192,"",Water birds
Mallard,X,"",X,"","",mallard,http://www.allaboutbirds.org/guide/mallard/id,ABNJB10060,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB10060,,Anseriformes,Swans / Geese / Ducks,Anatidae,Anas,Platyrhynchos,"American Black Duck, Gadwall, Northern Shoveler, Red-breasted Merganser",10085,"",Water birds
American Black Duck,"",X,"","",X,american_black_duck,http://www.allaboutbirds.org/guide/american_black_duck/id,ABNJB10040,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB10040,,Anseriformes,Swans / Geese / Ducks,Anatidae,Anas,Rubripes,"Mallard, Gadwall",55,"",Water birds
Gadwall,X,"",X,"","",gadwall,http://www.allaboutbirds.org/guide/gadwall/id,ABNJB10160,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB10160,,Anseriformes,Swans / Geese / Ducks,Anatidae,Anas,Strepera,"Mallard, Blue-winged Teal, Green-winged Teal, American Wigeon",3314,"",Water birds
Greater White-fronted Goose,"",X,"","",X,greater_white-fronted_goose,http://www.allaboutbirds.org/guide/greater_white-fronted_goose/id,ABNJB03040,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB03040,,Anseriformes,Swans / Geese / Ducks,Anatidae,Anser,Albifrons,"",134,"",Water birds
Lesser Scaup,X,"",X,"","",lesser_scaup,http://www.allaboutbirds.org/guide/lesser_scaup/id,ABNJB11070,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB11070,,Anseriformes,Swans / Geese / Ducks,Anatidae,Aythya,Affinis,"Greater Scaup, Ring-necked Duck",2660,"",Water birds
Redhead,X,"",X,"","",redhead,http://www.allaboutbirds.org/guide/redhead/id,ABNJB11030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB11030,,Anseriformes,Swans / Geese / Ducks,Anatidae,Aythya,Americana,"",2241,"",Water birds
Ring-necked Duck,X,"",X,"","",ring-necked_duck,http://www.allaboutbirds.org/guide/ring-necked_duck/id,ABNJB11040,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB11040,,Anseriformes,Swans / Geese / Ducks,Anatidae,Aythya,Collaris,"Lesser Scaup, Greater Scaup, Redhead",1723,"",Water birds
Greater Scaup,X,"","","",X,greater_scaup,http://www.allaboutbirds.org/guide/greater_scaup/id,ABNJB11060,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB11060,,Anseriformes,Swans / Geese / Ducks,Anatidae,Aythya,Marila,"",411,"",Water birds
Canvasback,X,"",X,"","",canvasback,http://www.allaboutbirds.org/guide/canvasback/id,ABNJB11020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB11020,,Anseriformes,Swans / Geese / Ducks,Anatidae,Aythya,Valisineria,"",1810,"",Water birds
Brant,"","","","",X,brant,http://www.allaboutbirds.org/guide/brant/id,ABNJB05010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB05010,,Anseriformes,Swans / Geese / Ducks,Anatidae,Branta,Bernicla,"",15,X,Water birds
Canada Goose,X,"",X,"","",canada_goose,http://www.allaboutbirds.org/guide/canada_goose/id,ABNJB05030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB05030,,Anseriformes,Swans / Geese / Ducks,Anatidae,Branta,Canadensis,"Cackling Goose, Brant, Snow Goose",8742,"",Water birds
Cackling Goose,X,"","","",X,cackling_goose,http://www.allaboutbirds.org/guide/cackling_goose/id,ABNJB05050,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB05050,,Anseriformes,Swans / Geese / Ducks,Anatidae,Branta,Hutchinsii,"",40,"",Water birds
Bufflehead,X,"",X,"","",bufflehead,http://www.allaboutbirds.org/guide/bufflehead/id,ABNJB18030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB18030,,Anseriformes,Swans / Geese / Ducks,Anatidae,Bucephala,Albeola,"Common Goldeneye, Barrow's Goldeneye, Hooded Merganser, Harlequin Duck, Ruddy Duck",2345,"",Water birds
Common Goldeneye,X,"",X,"","",common_goldeneye,http://www.allaboutbirds.org/guide/common_goldeneye/id,ABNJB18010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB18010,,Anseriformes,Swans / Geese / Ducks,Anatidae,Bucephala,Clangula,"Barrow's Goldeneye, Bufflehead",3219,"",Water birds
Barrow's Goldeneye,X,"",X,"","",barrows_goldeneye,http://www.allaboutbirds.org/guide/barrows_goldeneye/id,ABNJB18020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB18020,,Anseriformes,Swans / Geese / Ducks,Anatidae,Bucephala,Islandica,"",1439,"",Water birds
Snow Goose,"",X,"","",X,snow_goose,http://www.allaboutbirds.org/guide/snow_goose/id,ABNJB04010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB04010,,Anseriformes,Swans / Geese / Ducks,Anatidae,Chen,Caerulescens,"Ross's Goose, Mute Swan, Trumpeter Swan",682,"",Water birds
Ross's Goose,"",X,"","",X,rosss_goose,http://www.allaboutbirds.org/guide/rosss_goose/id,ABNJB04020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB04020,,Anseriformes,Swans / Geese / Ducks,Anatidae,Chen,Rossii,"",224,"",Water birds
Long-tailed Duck,X,"","","",X,long-tailed_duck,http://www.allaboutbirds.org/guide/long-tailed_duck/id,ABNJB16010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB16010,,Anseriformes,Swans / Geese / Ducks,Anatidae,Clangula,Hyemalis,"",141,"",Water birds
Trumpeter Swan,X,"",X,"","",trumpeter_swan,http://www.allaboutbirds.org/guide/trumpeter_swan/id,ABNJB02030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB02030,,Anseriformes,Swans / Geese / Ducks,Anatidae,Cygnus,Buccinator,"Tundra Swan, Mute Swan",1277,"",Water birds
Tundra Swan,X,"","","",X,tundra_swan,http://www.allaboutbirds.org/guide/tundra_swan/id,ABNJB02010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB02010,,Anseriformes,Swans / Geese / Ducks,Anatidae,Cygnus,Columbianus,"Mute Swan, Trumpeter Swan, Snow Goose, American White Pelican",1158,"",Water birds
Mute Swan,X,"",X,"","",mute_swan,http://www.allaboutbirds.org/guide/mute_swan/id,ABNJB02040,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB02040,,Anseriformes,Swans / Geese / Ducks,Anatidae,Cygnus,Olor,"Tundra Swan, Trumpeter Swan, Snow Goose, American White Pelican",39,"",Water birds
Harlequin Duck,X,"",X,"","",harlequin_duck,http://www.allaboutbirds.org/guide/harlequin_duck/id,ABNJB15010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB15010,,Anseriformes,Swans / Geese / Ducks,Anatidae,Histrionicus,Histrionicus,"",3486,"",Water birds
Hooded Merganser,X,"",X,"","",hooded_merganser,http://www.allaboutbirds.org/guide/hooded_merganser/id,ABNJB20010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB20010,,Anseriformes,Swans / Geese / Ducks,Anatidae,Lophodytes,Cucullatus,"Bufflehead, Common Merganser, Red-breasted Merganser",994,"",Water birds
Black Scoter,"",X,"","",X,black_scoter,http://www.allaboutbirds.org/guide/black_scoter/id,ABNJB17040,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB17040,,Anseriformes,Swans / Geese / Ducks,Anatidae,Melanitta,Americana,"",19,X,Water birds
White-winged Scoter,"",X,"","",X,white-winged_scoter,http://www.allaboutbirds.org/guide/white-winged_scoter/id,ABNJB17030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB17030,,Anseriformes,Swans / Geese / Ducks,Anatidae,Melanitta,Fusca,"",99,"",Water birds
Surf Scoter,"",X,"","",X,surf_scoter,http://www.allaboutbirds.org/guide/surf_scoter/id,ABNJB17020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB17020,,Anseriformes,Swans / Geese / Ducks,Anatidae,Melanitta,Perspicillata,"",102,"",Water birds
Common Merganser,X,"",X,"","",common_merganser,http://www.allaboutbirds.org/guide/common_merganser/id,ABNJB21010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB21010,,Anseriformes,Swans / Geese / Ducks,Anatidae,Mergus,Merganser,"Red-breasted Merganser, Common Loon, Mallard",3206,"",Water birds
Red-breasted Merganser,X,"","","",X,red-breasted_merganser,http://www.allaboutbirds.org/guide/red-breasted_merganser/id,ABNJB21020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB21020,,Anseriformes,Swans / Geese / Ducks,Anatidae,Mergus,Serrator,"",366,"",Water birds
Ruddy Duck,X,"",X,"","",ruddy_duck,http://www.allaboutbirds.org/guide/ruddy_duck/id,ABNJB22010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNJB22010,,Anseriformes,Swans / Geese / Ducks,Anatidae,Oxyura,Jamaicensis,Black Scoter,1846,"",Water birds
Common Loon,X,"",X,"","",common_loon,http://www.allaboutbirds.org/guide/common_loon/id,ABNBA01030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNBA01030,Loons,Gaviiformes,Loons,Gaviidae,Gavia,Immer,"Red-throated Loon, Pacific Loon, Double-crested Cormorant",3769,"",Water birds
Pacific Loon,"",X,"","",X,pacific_loon,http://www.allaboutbirds.org/guide/pacific_loon/id,ABNBA01050,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNBA01050,Loons,Gaviiformes,Loons,Gaviidae,Gavia,Pacifica,"",44,"",Water birds
Red-throated Loon,"","","","",X,red-throated_loon,http://www.allaboutbirds.org/guide/red-throated_loon/id,ABNBA01010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNBA01010,Loons,Gaviiformes,Loons,Gaviidae,Gavia,Stellata,"",15,X,Water birds
Clark's Grebe,"","",X,"","",clarks_grebe,http://www.allaboutbirds.org/guide/clarks_grebe/id,ABNCA04020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNCA04020,Grebes,Podicipediformes,Grebes,Podicipedidae,Aechmophorus,Clarkii,"",198,"",Water birds
Western Grebe,X,"",X,"","",western_grebe,http://www.allaboutbirds.org/guide/western_grebe/id,ABNCA04010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNCA04010,Grebes,Podicipediformes,Grebes,Podicipedidae,Aechmophorus,Occidentalis,"",1543,"",Water birds
Horned Grebe,X,"",X,"","",horned_grebe,http://www.allaboutbirds.org/guide/horned_grebe/id,ABNCA03010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNCA03010,Grebes,Podicipediformes,Grebes,Podicipedidae,Podiceps,Auritus,Eared Grebe,635,"",Water birds
Red-necked Grebe,X,"",X,"","",red-necked_grebe,http://www.allaboutbirds.org/guide/red-necked_grebe/id,ABNCA03020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNCA03020,Grebes,Podicipediformes,Grebes,Podicipedidae,Podiceps,Grisegena,"",1246,"",Water birds
Eared Grebe,X,"",X,"","",eared_grebe,http://www.allaboutbirds.org/guide/eared_grebe/id,ABNCA03030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNCA03030,Grebes,Podicipediformes,Grebes,Podicipedidae,Podiceps,Nigricollis,Horned Grebe,1651,"",Water birds
Pied-billed Grebe,X,"",X,"","",pied-billed_grebe,http://www.allaboutbirds.org/guide/pied-billed_grebe/id,ABNCA02010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNCA02010,Grebes,Podicipediformes,Grebes,Podicipedidae,Podilymbus,Podiceps,"",1113,"",Water birds
Wood Stork,"","","","",X,wood_stork,http://www.allaboutbirds.org/guide/wood_stork/id,ABNGF02010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNGF02010,Storks,Ciconiiformes,Storks,Ciconiidae,Mycteria,Americana,"",2,X,Water birds
